variable,years,short_desc,long_desc,sources,category,plaintext_cite,bibtex_cite,plaintext_cite2,bibtex_cite2,plaintext_cite3,bibtex_cite3,plaintext_cite4,bibtex_cite4,plaintext_cite5,bibtex_cite5
born_other_west,"2005-2011, 2013, 2015, 2017, 2019",Born in a western state that is not their current state.,"Number of individuals born in a western state that is not their current state of residence. For the total population, see the variable 'totalpop.'
",U.S. Census Bureau. (2022). 2009-2019 American Community Survey 1-year Estimates. Retrieved from the Census Bureau Data API.,demographics,U.S. Census Bureau. (2022). 2009-2019 American Community Survey 1-year Estimates. Retrieved from the Census Bureau Data API.,"@misc{acs2022,
  author = {{U.S. Census Bureau}},
  title = {2009-2019 American Community Survey 1-year Estimates},
  year = {2022},
  note = {Retrieved from the Census Bureau Data API},
}",NA,NA,NA,NA,NA,NA,NA,NA
born_not_us,"2005-2011, 2013, 2015, 2017, 2019",U.S. Citizens born outside the U.S.,"Number of individuals that are U.S. Citizens who were born outside the U.S. For the total population, see the variable 'totalpop.'
",U.S. Census Bureau. (2022). 2009-2019 American Community Survey 1-year Estimates. Retrieved from the Census Bureau Data API.,demographics,U.S. Census Bureau. (2022). 2009-2019 American Community Survey 1-year Estimates. Retrieved from the Census Bureau Data API.,"@misc{acs2022,
  author = {{U.S. Census Bureau}},
  title = {2009-2019 American Community Survey 1-year Estimates},
  year = {2022},
  note = {Retrieved from the Census Bureau Data API},
}",NA,NA,NA,NA,NA,NA,NA,NA
foreignborn,"2005-2011, 2013, 2015, 2017, 2019",Population born outside the U.S.,"Number of individuals born outside the U.S. For the total population, see the variable 'totalpop.'
",U.S. Census Bureau. (2022). 2009-2019 American Community Survey 1-year Estimates. Retrieved from the Census Bureau Data API.,demographics,U.S. Census Bureau. (2022). 2009-2019 American Community Survey 1-year Estimates. Retrieved from the Census Bureau Data API.,"@misc{acs2022,
  author = {{U.S. Census Bureau}},
  title = {2009-2019 American Community Survey 1-year Estimates},
  year = {2022},
  note = {Retrieved from the Census Bureau Data API},
}",NA,NA,NA,NA,NA,NA,NA,NA
totalpop_moved_vars,"2005-2011, 2013, 2015, 2017, 2019",Total population for geographic mobility variables,"Total population for the following geographic mobility variables: samehouse
movedhouse
moved_samecity
movedcity
movedcity_samecounty
movedcity_diffcounty
movedcounty_samestate
movedstate
movedstate_ne
movedstate_mw
movedstate_south
movedstate_west
movedabroad
movedabroad_pr
movedabroad_usislands
movedabroad_foreign. This variable adds up each respective mobility variable’s total to produce the total population for all mobility variables.",U.S. Census Bureau. (2022). 2009-2019 American Community Survey 1-year Estimates. Retrieved from the Census Bureau Data API.,demographics,U.S. Census Bureau. (2022). 2009-2019 American Community Survey 1-year Estimates. Retrieved from the Census Bureau Data API.,"@misc{acs2022,
  author = {{U.S. Census Bureau}},
  title = {2009-2019 American Community Survey 1-year Estimates},
  year = {2022},
  note = {Retrieved from the Census Bureau Data API},
}",NA,NA,NA,NA,NA,NA,NA,NA
samehouse,"2005-2011, 2013, 2015, 2017, 2019",Living in the same house as one year prior,"Number of individuals in the district living in the same house as they were one year ago. For the total population, see the variable ‘totalpop_moved_vars.’",U.S. Census Bureau. (2022). 2009-2019 American Community Survey 1-year Estimates. Retrieved from the Census Bureau Data API.,demographics,U.S. Census Bureau. (2022). 2009-2019 American Community Survey 1-year Estimates. Retrieved from the Census Bureau Data API.,"@misc{acs2022,
  author = {{U.S. Census Bureau}},
  title = {2009-2019 American Community Survey 1-year Estimates},
  year = {2022},
  note = {Retrieved from the Census Bureau Data API},
}",NA,NA,NA,NA,NA,NA,NA,NA
movedhouse,"2005-2011, 2013, 2015, 2017, 2019",Lived in a different house one year prior,"Number of individuals in the district who livd in a different house one year prior. For the total population, see the variable ‘totalpop_moved_vars.’",U.S. Census Bureau. (2022). 2009-2019 American Community Survey 1-year Estimates. Retrieved from the Census Bureau Data API.,demographics,U.S. Census Bureau. (2022). 2009-2019 American Community Survey 1-year Estimates. Retrieved from the Census Bureau Data API.,"@misc{acs2022,
  author = {{U.S. Census Bureau}},
  title = {2009-2019 American Community Survey 1-year Estimates},
  year = {2022},
  note = {Retrieved from the Census Bureau Data API},
}",NA,NA,NA,NA,NA,NA,NA,NA
moved_samecity,"2005-2011, 2013, 2015, 2017, 2019",Lived in a different house in the same city one year prior,"Number of individuals in the district who lived in a different house in the same city or town as their current residence one year prior. For the total population, see the variable ‘totalpop_moved_vars.’",U.S. Census Bureau. (2022). 2009-2019 American Community Survey 1-year Estimates. Retrieved from the Census Bureau Data API.,demographics,U.S. Census Bureau. (2022). 2009-2019 American Community Survey 1-year Estimates. Retrieved from the Census Bureau Data API.,"@misc{acs2022,
  author = {{U.S. Census Bureau}},
  title = {2009-2019 American Community Survey 1-year Estimates},
  year = {2022},
  note = {Retrieved from the Census Bureau Data API},
}",NA,NA,NA,NA,NA,NA,NA,NA
movedcity,"2005-2011, 2013, 2015, 2017, 2019",Lived in a different city one year prior,"Number of individuals in the district who lived in a different house that was in a different city or town one year prior. For the total population, see the variable ‘totalpop_moved_vars.’",U.S. Census Bureau. (2022). 2009-2019 American Community Survey 1-year Estimates. Retrieved from the Census Bureau Data API.,demographics,U.S. Census Bureau. (2022). 2009-2019 American Community Survey 1-year Estimates. Retrieved from the Census Bureau Data API.,"@misc{acs2022,
  author = {{U.S. Census Bureau}},
  title = {2009-2019 American Community Survey 1-year Estimates},
  year = {2022},
  note = {Retrieved from the Census Bureau Data API},
}",NA,NA,NA,NA,NA,NA,NA,NA
movedcity_samecounty,"2005-2011, 2013, 2015, 2017, 2019","Lived in a different city, same county one year prior","Number of individuals in the district who lived in a different house that was in a different city but the same county one year prior. For the total population, see the variable ‘totalpop_moved_vars.’",U.S. Census Bureau. (2022). 2009-2019 American Community Survey 1-year Estimates. Retrieved from the Census Bureau Data API.,demographics,U.S. Census Bureau. (2022). 2009-2019 American Community Survey 1-year Estimates. Retrieved from the Census Bureau Data API.,"@misc{acs2022,
  author = {{U.S. Census Bureau}},
  title = {2009-2019 American Community Survey 1-year Estimates},
  year = {2022},
  note = {Retrieved from the Census Bureau Data API},
}",NA,NA,NA,NA,NA,NA,NA,NA
movedcity_diffcounty,"2005-2011, 2013, 2015, 2017, 2019",Lived in a different city and different county one year prior,"Number of individuals in the district who lived in a different house that was in a different city and a different county than their current residence one year prior. For the total population, see the variable ‘totalpop_moved_vars.’",U.S. Census Bureau. (2022). 2009-2019 American Community Survey 1-year Estimates. Retrieved from the Census Bureau Data API.,demographics,U.S. Census Bureau. (2022). 2009-2019 American Community Survey 1-year Estimates. Retrieved from the Census Bureau Data API.,"@misc{acs2022,
  author = {{U.S. Census Bureau}},
  title = {2009-2019 American Community Survey 1-year Estimates},
  year = {2022},
  note = {Retrieved from the Census Bureau Data API},
}",NA,NA,NA,NA,NA,NA,NA,NA
movedcounty_samestate,"2005-2011, 2013, 2015, 2017, 2019","Lived in a different county, same state one year prior","Number of individuals in the district that lived in a different house one year prior that was in a different county but the same state as their current residence. For the total population, see the variable ‘totalpop_moved_vars.’",U.S. Census Bureau. (2022). 2009-2019 American Community Survey 1-year Estimates. Retrieved from the Census Bureau Data API.,demographics,U.S. Census Bureau. (2022). 2009-2019 American Community Survey 1-year Estimates. Retrieved from the Census Bureau Data API.,"@misc{acs2022,
  author = {{U.S. Census Bureau}},
  title = {2009-2019 American Community Survey 1-year Estimates},
  year = {2022},
  note = {Retrieved from the Census Bureau Data API},
}",NA,NA,NA,NA,NA,NA,NA,NA
movedstate,"2005-2011, 2013, 2015, 2017, 2019",Lived in a different state one year prior,"Number of individuals in the district who lived in a different state one year prior. For the total population, see the variable ‘totalpop_moved_vars.’",U.S. Census Bureau. (2022). 2009-2019 American Community Survey 1-year Estimates. Retrieved from the Census Bureau Data API.,demographics,U.S. Census Bureau. (2022). 2009-2019 American Community Survey 1-year Estimates. Retrieved from the Census Bureau Data API.,"@misc{acs2022,
  author = {{U.S. Census Bureau}},
  title = {2009-2019 American Community Survey 1-year Estimates},
  year = {2022},
  note = {Retrieved from the Census Bureau Data API},
}",NA,NA,NA,NA,NA,NA,NA,NA
movedstate_ne,"2005-2011, 2013, 2015, 2017, 2019",Lived in a northeast state one year prior,"Number of individuals in the district who lived in a different state one year prior; specifically a northeastern state. For the total population, see the variable ‘totalpop_moved_vars.’",U.S. Census Bureau. (2022). 2009-2019 American Community Survey 1-year Estimates. Retrieved from the Census Bureau Data API.,demographics,U.S. Census Bureau. (2022). 2009-2019 American Community Survey 1-year Estimates. Retrieved from the Census Bureau Data API.,"@misc{acs2022,
  author = {{U.S. Census Bureau}},
  title = {2009-2019 American Community Survey 1-year Estimates},
  year = {2022},
  note = {Retrieved from the Census Bureau Data API},
}",NA,NA,NA,NA,NA,NA,NA,NA
movedstate_mw,"2005-2011, 2013, 2015, 2017, 2019",Lived in a midwestern state one year prior,"Number of individuals in the district who lived in a different state one year prior; specifically a midwestern state. For the total population, see the variable ‘totalpop_moved_vars.’",U.S. Census Bureau. (2022). 2009-2019 American Community Survey 1-year Estimates. Retrieved from the Census Bureau Data API.,demographics,U.S. Census Bureau. (2022). 2009-2019 American Community Survey 1-year Estimates. Retrieved from the Census Bureau Data API.,"@misc{acs2022,
  author = {{U.S. Census Bureau}},
  title = {2009-2019 American Community Survey 1-year Estimates},
  year = {2022},
  note = {Retrieved from the Census Bureau Data API},
}",NA,NA,NA,NA,NA,NA,NA,NA
movedstate_south,"2005-2011, 2013, 2015, 2017, 2019",Lived in a southern state one year prior,"Number of individuals in the district who lived in a different state one year prior; specifically a southern state. For the total population, see the variable ‘totalpop_moved_vars.’",U.S. Census Bureau. (2022). 2009-2019 American Community Survey 1-year Estimates. Retrieved from the Census Bureau Data API.,demographics,U.S. Census Bureau. (2022). 2009-2019 American Community Survey 1-year Estimates. Retrieved from the Census Bureau Data API.,"@misc{acs2022,
  author = {{U.S. Census Bureau}},
  title = {2009-2019 American Community Survey 1-year Estimates},
  year = {2022},
  note = {Retrieved from the Census Bureau Data API},
}",NA,NA,NA,NA,NA,NA,NA,NA
movedstate_west,"2005-2011, 2013, 2015, 2017, 2019",Lived in a western state one year prior,"Number of individuals in the district who lived in a different state one year prior; specifically a western state. For the total population, see the variable ‘totalpop_moved_vars.’",U.S. Census Bureau. (2022). 2009-2019 American Community Survey 1-year Estimates. Retrieved from the Census Bureau Data API.,demographics,U.S. Census Bureau. (2022). 2009-2019 American Community Survey 1-year Estimates. Retrieved from the Census Bureau Data API.,"@misc{acs2022,
  author = {{U.S. Census Bureau}},
  title = {2009-2019 American Community Survey 1-year Estimates},
  year = {2022},
  note = {Retrieved from the Census Bureau Data API},
}",NA,NA,NA,NA,NA,NA,NA,NA
movedabroad,"2005-2011, 2013, 2015, 2017, 2019",Lived abroad one year prior,"Number of individuals in the district that lived abroad one year prior. This includes those who lived in Puerto Rico. The US Islands, or a foreign country. For the total population, see the variable ‘totalpop_moved_vars.’",U.S. Census Bureau. (2022). 2009-2019 American Community Survey 1-year Estimates. Retrieved from the Census Bureau Data API.,demographics,U.S. Census Bureau. (2022). 2009-2019 American Community Survey 1-year Estimates. Retrieved from the Census Bureau Data API.,"@misc{acs2022,
  author = {{U.S. Census Bureau}},
  title = {2009-2019 American Community Survey 1-year Estimates},
  year = {2022},
  note = {Retrieved from the Census Bureau Data API},
}",NA,NA,NA,NA,NA,NA,NA,NA
movedabroad_pr,"2005-2011, 2013, 2015, 2017, 2019",Lived in PR one year prior,"Number of individuals in the district that lived in Puerto Rico one year prior. For the total population, see the variable ‘totalpop_moved_vars.’",U.S. Census Bureau. (2022). 2009-2019 American Community Survey 1-year Estimates. Retrieved from the Census Bureau Data API.,demographics,U.S. Census Bureau. (2022). 2009-2019 American Community Survey 1-year Estimates. Retrieved from the Census Bureau Data API.,"@misc{acs2022,
  author = {{U.S. Census Bureau}},
  title = {2009-2019 American Community Survey 1-year Estimates},
  year = {2022},
  note = {Retrieved from the Census Bureau Data API},
}",NA,NA,NA,NA,NA,NA,NA,NA
movedabroad_usislands,"2005-2011, 2013, 2015, 2017, 2019",Lived in the US Islands one year prior,"Number of individuals in the district that lived in the US Islands one year prior. For the total population, see the variable ‘totalpop_moved_vars.’",U.S. Census Bureau. (2022). 2009-2019 American Community Survey 1-year Estimates. Retrieved from the Census Bureau Data API.,demographics,U.S. Census Bureau. (2022). 2009-2019 American Community Survey 1-year Estimates. Retrieved from the Census Bureau Data API.,"@misc{acs2022,
  author = {{U.S. Census Bureau}},
  title = {2009-2019 American Community Survey 1-year Estimates},
  year = {2022},
  note = {Retrieved from the Census Bureau Data API},
}",NA,NA,NA,NA,NA,NA,NA,NA
movedabroad_foreign,"2005-2011, 2013, 2015, 2017, 2019",Lived in a foreign country one year prior,"Number of individuals in the district that lived in a foreign country one year prior. For the total population, see the variable ‘totalpop_moved_vars.’",U.S. Census Bureau. (2022). 2009-2019 American Community Survey 1-year Estimates. Retrieved from the Census Bureau Data API.,demographics,U.S. Census Bureau. (2022). 2009-2019 American Community Survey 1-year Estimates. Retrieved from the Census Bureau Data API.,"@misc{acs2022,
  author = {{U.S. Census Bureau}},
  title = {2009-2019 American Community Survey 1-year Estimates},
  year = {2022},
  note = {Retrieved from the Census Bureau Data API},
}",NA,NA,NA,NA,NA,NA,NA,NA
totalpop_worktransport_vars,"2006-2011, 2013, 2015, 2017, 2019",Total population for means of transportation to work variables,"Total population for the following means of transportation to work variables: work_drove
drovealone
carpool
work_publictrans
streetcar
subway
rail
ferry
bike
walk
workhome This variable adds up each respective transportation variable’s total to produce the total population for all transportation variables.",U.S. Census Bureau. (2022). 2009-2019 American Community Survey 1-year Estimates. Retrieved from the Census Bureau Data API.,demographics,U.S. Census Bureau. (2022). 2009-2019 American Community Survey 1-year Estimates. Retrieved from the Census Bureau Data API.,"@misc{acs2022,
  author = {{U.S. Census Bureau}},
  title = {2009-2019 American Community Survey 1-year Estimates},
  year = {2022},
  note = {Retrieved from the Census Bureau Data API},
}",NA,NA,NA,NA,NA,NA,NA,NA
work_drove,"2006-2011, 2013, 2015, 2017, 2019",Drive to work,"Number of people in the district that say driving is their primary way of getting to work. Includes those that drive alone and carpool. For the total population, see the variable ‘totalpop_worktransport_vars.’
",U.S. Census Bureau. (2022). 2009-2019 American Community Survey 1-year Estimates. Retrieved from the Census Bureau Data API.,demographics,U.S. Census Bureau. (2022). 2009-2019 American Community Survey 1-year Estimates. Retrieved from the Census Bureau Data API.,"@misc{acs2022,
  author = {{U.S. Census Bureau}},
  title = {2009-2019 American Community Survey 1-year Estimates},
  year = {2022},
  note = {Retrieved from the Census Bureau Data API},
}",NA,NA,NA,NA,NA,NA,NA,NA
drovealone,"2006-2011, 2013, 2015, 2017, 2019",Drive alone to work,"Number of people in the district that say driving alone is their primary way of getting to work. For the total population, see the variable ‘totalpop_worktransport_vars.’",U.S. Census Bureau. (2022). 2009-2019 American Community Survey 1-year Estimates. Retrieved from the Census Bureau Data API.,demographics,U.S. Census Bureau. (2022). 2009-2019 American Community Survey 1-year Estimates. Retrieved from the Census Bureau Data API.,"@misc{acs2022,
  author = {{U.S. Census Bureau}},
  title = {2009-2019 American Community Survey 1-year Estimates},
  year = {2022},
  note = {Retrieved from the Census Bureau Data API},
}",NA,NA,NA,NA,NA,NA,NA,NA
carpool,"2006-2011, 2013, 2015, 2017, 2019",Carpool to work,"Number of people in the district that say carpooling is their primary way of getting to work. For the total population, see the variable ‘totalpop_worktransport_vars.’",U.S. Census Bureau. (2022). 2009-2019 American Community Survey 1-year Estimates. Retrieved from the Census Bureau Data API.,demographics,U.S. Census Bureau. (2022). 2009-2019 American Community Survey 1-year Estimates. Retrieved from the Census Bureau Data API.,"@misc{acs2022,
  author = {{U.S. Census Bureau}},
  title = {2009-2019 American Community Survey 1-year Estimates},
  year = {2022},
  note = {Retrieved from the Census Bureau Data API},
}",NA,NA,NA,NA,NA,NA,NA,NA
publictransit,"2006-2011, 2013, 2015, 2017, 2019",Take public transit to work,"Number of people in the district that say public transit is their primary way of getting to work. For the total population, see the variable ‘totalpop_worktransport_vars.’",U.S. Census Bureau. (2022). 2009-2019 American Community Survey 1-year Estimates. Retrieved from the Census Bureau Data API.,demographics,U.S. Census Bureau. (2022). 2009-2019 American Community Survey 1-year Estimates. Retrieved from the Census Bureau Data API.,"@misc{acs2022,
  author = {{U.S. Census Bureau}},
  title = {2009-2019 American Community Survey 1-year Estimates},
  year = {2022},
  note = {Retrieved from the Census Bureau Data API},
}",NA,NA,NA,NA,NA,NA,NA,NA
bus,"2006-2011, 2013, 2015, 2017, 2019",Take a bus to work,"Number of people in the district that say the bus is their primary way of getting to work. For the total population, see the variable ‘totalpop_worktransport_vars.’",U.S. Census Bureau. (2022). 2009-2019 American Community Survey 1-year Estimates. Retrieved from the Census Bureau Data API.,demographics,U.S. Census Bureau. (2022). 2009-2019 American Community Survey 1-year Estimates. Retrieved from the Census Bureau Data API.,"@misc{acs2022,
  author = {{U.S. Census Bureau}},
  title = {2009-2019 American Community Survey 1-year Estimates},
  year = {2022},
  note = {Retrieved from the Census Bureau Data API},
}",NA,NA,NA,NA,NA,NA,NA,NA
streetcar,"2006-2011, 2013, 2015, 2017, 2019",Take a streetcar to work,"Number of people in the district that say public transit is their primary way of getting to work. For the total population, see the variable ‘totalpop_worktransport_vars.’",U.S. Census Bureau. (2022). 2009-2019 American Community Survey 1-year Estimates. Retrieved from the Census Bureau Data API.,demographics,U.S. Census Bureau. (2022). 2009-2019 American Community Survey 1-year Estimates. Retrieved from the Census Bureau Data API.,"@misc{acs2022,
  author = {{U.S. Census Bureau}},
  title = {2009-2019 American Community Survey 1-year Estimates},
  year = {2022},
  note = {Retrieved from the Census Bureau Data API},
}",NA,NA,NA,NA,NA,NA,NA,NA
subway,"2006-2011, 2013, 2015, 2017, 2019",Take the subway to work,"Number of people in the district that say the subway is their primary way of getting to work. For the total population, see the variable ‘totalpop_worktransport_vars.’",U.S. Census Bureau. (2022). 2009-2019 American Community Survey 1-year Estimates. Retrieved from the Census Bureau Data API.,demographics,U.S. Census Bureau. (2022). 2009-2019 American Community Survey 1-year Estimates. Retrieved from the Census Bureau Data API.,"@misc{acs2022,
  author = {{U.S. Census Bureau}},
  title = {2009-2019 American Community Survey 1-year Estimates},
  year = {2022},
  note = {Retrieved from the Census Bureau Data API},
}",NA,NA,NA,NA,NA,NA,NA,NA
rail,"2006-2011, 2013, 2015, 2017, 2019",Take the railroad to work,"Number of people in the district that say railroad is their primary way of getting to work. For the total population, see the variable ‘totalpop_worktransport_vars.’",U.S. Census Bureau. (2022). 2009-2019 American Community Survey 1-year Estimates. Retrieved from the Census Bureau Data API.,demographics,U.S. Census Bureau. (2022). 2009-2019 American Community Survey 1-year Estimates. Retrieved from the Census Bureau Data API.,"@misc{acs2022,
  author = {{U.S. Census Bureau}},
  title = {2009-2019 American Community Survey 1-year Estimates},
  year = {2022},
  note = {Retrieved from the Census Bureau Data API},
}",NA,NA,NA,NA,NA,NA,NA,NA
ferry,"2006-2011, 2013, 2015, 2017, 2019",Take a ferry to work,"Number of people in the district that say a ferry is their primary way of getting to work. For the total population, see the variable ‘totalpop_worktransport_vars.’",U.S. Census Bureau. (2022). 2009-2019 American Community Survey 1-year Estimates. Retrieved from the Census Bureau Data API.,demographics,U.S. Census Bureau. (2022). 2009-2019 American Community Survey 1-year Estimates. Retrieved from the Census Bureau Data API.,"@misc{acs2022,
  author = {{U.S. Census Bureau}},
  title = {2009-2019 American Community Survey 1-year Estimates},
  year = {2022},
  note = {Retrieved from the Census Bureau Data API},
}",NA,NA,NA,NA,NA,NA,NA,NA
taxi,"2006-2011, 2013, 2015, 2017, 2019",Take a taxi to work,"Number of people in the district that say taxi is their primary way of getting to work. For the total population, see the variable ‘totalpop_worktransport_vars.’",U.S. Census Bureau. (2022). 2009-2019 American Community Survey 1-year Estimates. Retrieved from the Census Bureau Data API.,demographics,U.S. Census Bureau. (2022). 2009-2019 American Community Survey 1-year Estimates. Retrieved from the Census Bureau Data API.,"@misc{acs2022,
  author = {{U.S. Census Bureau}},
  title = {2009-2019 American Community Survey 1-year Estimates},
  year = {2022},
  note = {Retrieved from the Census Bureau Data API},
}",NA,NA,NA,NA,NA,NA,NA,NA
motorcycle,"2006-2011, 2013, 2015, 2017, 2019",Take a motorcycle to work,"Number of people in the district that say motorcycle is their primary way of getting to work. For the total population, see the variable ‘totalpop_worktransport_vars.’",U.S. Census Bureau. (2022). 2009-2019 American Community Survey 1-year Estimates. Retrieved from the Census Bureau Data API.,demographics,U.S. Census Bureau. (2022). 2009-2019 American Community Survey 1-year Estimates. Retrieved from the Census Bureau Data API.,"@misc{acs2022,
  author = {{U.S. Census Bureau}},
  title = {2009-2019 American Community Survey 1-year Estimates},
  year = {2022},
  note = {Retrieved from the Census Bureau Data API},
}",NA,NA,NA,NA,NA,NA,NA,NA
bike,"2006-2011, 2013, 2015, 2017, 2019",Bike to work,"Number of people in the district that say biking is their primary way of getting to work. For the total population, see the variable ‘totalpop_worktransport_vars.’",U.S. Census Bureau. (2022). 2009-2019 American Community Survey 1-year Estimates. Retrieved from the Census Bureau Data API.,demographics,U.S. Census Bureau. (2022). 2009-2019 American Community Survey 1-year Estimates. Retrieved from the Census Bureau Data API.,"@misc{acs2022,
  author = {{U.S. Census Bureau}},
  title = {2009-2019 American Community Survey 1-year Estimates},
  year = {2022},
  note = {Retrieved from the Census Bureau Data API},
}",NA,NA,NA,NA,NA,NA,NA,NA
walk,"2006-2011, 2013, 2015, 2017, 2019",Walk to work,"Number of people in the district that say walking is their primary way of getting to work. For the total population, see the variable ‘totalpop_worktransport_vars.’",U.S. Census Bureau. (2022). 2009-2019 American Community Survey 1-year Estimates. Retrieved from the Census Bureau Data API.,demographics,U.S. Census Bureau. (2022). 2009-2019 American Community Survey 1-year Estimates. Retrieved from the Census Bureau Data API.,"@misc{acs2022,
  author = {{U.S. Census Bureau}},
  title = {2009-2019 American Community Survey 1-year Estimates},
  year = {2022},
  note = {Retrieved from the Census Bureau Data API},
}",NA,NA,NA,NA,NA,NA,NA,NA
other_worktranspo,"2006-2011, 2013, 2015, 2017, 2019",Use another means of transportation to get to work,"Number of people in the district that say some other means of transportation is their primary way of getting to work. For the total population, see the variable ‘totalpop_worktransport_vars.’",U.S. Census Bureau. (2022). 2009-2019 American Community Survey 1-year Estimates. Retrieved from the Census Bureau Data API.,demographics,U.S. Census Bureau. (2022). 2009-2019 American Community Survey 1-year Estimates. Retrieved from the Census Bureau Data API.,"@misc{acs2022,
  author = {{U.S. Census Bureau}},
  title = {2009-2019 American Community Survey 1-year Estimates},
  year = {2022},
  note = {Retrieved from the Census Bureau Data API},
}",NA,NA,NA,NA,NA,NA,NA,NA
workhome,"2006-2011, 2013, 2015, 2017, 2019",Work from home,"Number of people in the district that work from home. For the total population, see the variable ‘totalpop_worktransport_vars.’",U.S. Census Bureau. (2022). 2009-2019 American Community Survey 1-year Estimates. Retrieved from the Census Bureau Data API.,demographics,U.S. Census Bureau. (2022). 2009-2019 American Community Survey 1-year Estimates. Retrieved from the Census Bureau Data API.,"@misc{acs2022,
  author = {{U.S. Census Bureau}},
  title = {2009-2019 American Community Survey 1-year Estimates},
  year = {2022},
  note = {Retrieved from the Census Bureau Data API},
}",NA,NA,NA,NA,NA,NA,NA,NA
totalpop_worktraveltime_vars,"2006-2011, 2013, 2015, 2017, 2019",Total population for work travel time variables,"Total population for the following travel time variables: travel_under5
travel5_9
travel10_14
travel15_19
travel20_24
travel25_29
travel30_34
travel35_39
travel40_44
travel45_59
travel60_89
travel_over90. This variable adds up each respective travel time variable’s total to produce the total population for all travel time variables.",U.S. Census Bureau. (2022). 2009-2019 American Community Survey 1-year Estimates. Retrieved from the Census Bureau Data API.,demographics,U.S. Census Bureau. (2022). 2009-2019 American Community Survey 1-year Estimates. Retrieved from the Census Bureau Data API.,"@misc{acs2022,
  author = {{U.S. Census Bureau}},
  title = {2009-2019 American Community Survey 1-year Estimates},
  year = {2022},
  note = {Retrieved from the Census Bureau Data API},
}",NA,NA,NA,NA,NA,NA,NA,NA
travel_under5,"2006-2011, 2013, 2015, 2017, 2019",Less than 5 minute travel time to work,"Number of people in the district whose average travel time to work is less than 5 minutes. The elapsed time includes time spent waiting for public transportation, picking up passengers in carpools, and time spent in other activities related to getting to work. For the total population, see the variable ‘totalpop_worktraveltime_vars’",U.S. Census Bureau. (2022). 2009-2019 American Community Survey 1-year Estimates. Retrieved from the Census Bureau Data API.,demographics,U.S. Census Bureau. (2022). 2009-2019 American Community Survey 1-year Estimates. Retrieved from the Census Bureau Data API.,"@misc{acs2022,
  author = {{U.S. Census Bureau}},
  title = {2009-2019 American Community Survey 1-year Estimates},
  year = {2022},
  note = {Retrieved from the Census Bureau Data API},
}",NA,NA,NA,NA,NA,NA,NA,NA
travel5_9,"2006-2011, 2013, 2015, 2017, 2019",5 to 9 minute travel time to work,"Number of people in the district whose average travel time to work is 5 to 9 minutes. The elapsed time includes time spent waiting for public transportation, picking up passengers in carpools, and time spent in other activities related to getting to work. For the total population, see the variable ‘totalpop_worktraveltime_vars’",U.S. Census Bureau. (2022). 2009-2019 American Community Survey 1-year Estimates. Retrieved from the Census Bureau Data API.,demographics,U.S. Census Bureau. (2022). 2009-2019 American Community Survey 1-year Estimates. Retrieved from the Census Bureau Data API.,"@misc{acs2022,
  author = {{U.S. Census Bureau}},
  title = {2009-2019 American Community Survey 1-year Estimates},
  year = {2022},
  note = {Retrieved from the Census Bureau Data API},
}",NA,NA,NA,NA,NA,NA,NA,NA
travel10_14,"2006-2011, 2013, 2015, 2017, 2019",10 to 14 minute travel time to work,"Number of people in the district whose average travel time to work is 10 to 14 minutes. The elapsed time includes time spent waiting for public transportation, picking up passengers in carpools, and time spent in other activities related to getting to work.  For the total population, see the variable ‘totalpop_worktraveltime_vars’",U.S. Census Bureau. (2022). 2009-2019 American Community Survey 1-year Estimates. Retrieved from the Census Bureau Data API.,demographics,U.S. Census Bureau. (2022). 2009-2019 American Community Survey 1-year Estimates. Retrieved from the Census Bureau Data API.,"@misc{acs2022,
  author = {{U.S. Census Bureau}},
  title = {2009-2019 American Community Survey 1-year Estimates},
  year = {2022},
  note = {Retrieved from the Census Bureau Data API},
}",NA,NA,NA,NA,NA,NA,NA,NA
travel15_19,"2006-2011, 2013, 2015, 2017, 2019",15 to 19 minute travel time to work,"Number of people in the district whose average travel time to work is 15 to 19 minutes. The elapsed time includes time spent waiting for public transportation, picking up passengers in carpools, and time spent in other activities related to getting to work. For the total population, see the variable ‘totalpop_worktraveltime_vars’",U.S. Census Bureau. (2022). 2009-2019 American Community Survey 1-year Estimates. Retrieved from the Census Bureau Data API.,demographics,U.S. Census Bureau. (2022). 2009-2019 American Community Survey 1-year Estimates. Retrieved from the Census Bureau Data API.,"@misc{acs2022,
  author = {{U.S. Census Bureau}},
  title = {2009-2019 American Community Survey 1-year Estimates},
  year = {2022},
  note = {Retrieved from the Census Bureau Data API},
}",NA,NA,NA,NA,NA,NA,NA,NA
travel20_24,"2006-2011, 2013, 2015, 2017, 2019",20 to 24 minute travel time to work,"Number of people in the district whose average travel time to work is 20 to 24 minutes. The elapsed time includes time spent waiting for public transportation, picking up passengers in carpools, and time spent in other activities related to getting to work. For the total population, see the variable ‘totalpop_worktraveltime_vars’",U.S. Census Bureau. (2022). 2009-2019 American Community Survey 1-year Estimates. Retrieved from the Census Bureau Data API.,demographics,U.S. Census Bureau. (2022). 2009-2019 American Community Survey 1-year Estimates. Retrieved from the Census Bureau Data API.,"@misc{acs2022,
  author = {{U.S. Census Bureau}},
  title = {2009-2019 American Community Survey 1-year Estimates},
  year = {2022},
  note = {Retrieved from the Census Bureau Data API},
}",NA,NA,NA,NA,NA,NA,NA,NA
