rowid,id,age,occup,gender,purp,vehic,freqpweek,OD_dist,travtime,reason,own_car,own_motob,own_ebike,own_bike,opinion_car,opinion_motob,opinion_ebike,opinion_bike,opinion_taxi,opinion_bus,opinion_ban
1021,84446126,18_25,student,female,education,walk,4_7,0.597830842,20,cost,0,0,0,0,good,good,neutral,good,good,neutral,neutral
1022,84446509,18_25,student,female,education,walk,4_7,0.378650125,10,cost,0,2,0,0,good,verygood,good,good,good,neutral,disagree
1023,84446840,18_25,student,male,education,moto,4_7,1.299859614,7,convinient,0,3,0,0,good,good,good,good,good,neutral,disagree
1024,84447084,18_25,student,male,education,moto,4_7,0.864646967,5,convinient timesaving,0,2,0,0,good,verygood,good,good,verygood,neutral,disagree
1025,84447217,18_25,student,female,education,walk,4_7,0.055169678,1,cost convinient,0,0,0,0,good,verygood,good,good,verygood,good,neutral
1026,84447381,18_25,student,male,education,moto,4_7,0.513072693,5,convinient timesaving,0,3,0,0,neutral,verygood,good,good,good,neutral,disagree
1027,84447487,18_25,student,female,education,walk,4_7,0.429181721,10,cost,0,3,0,1,good,good,good,good,good,neutral,disagree
1028,84452053,18_25,student,male,education,bike,4_7,1.457062496,10,cost convinient,0,3,0,1,good,verygood,verygood,verygood,good,good,neutral
1029,84452314,18_25,student,female,education,walk,4_7,0.218256225,10,cost,0,2,0,0,good,verygood,verygood,verygood,good,neutral,disagree
1030,84456133,less_18,student,male,education,walk,4_7,0.190825494,5,convinient,1,2,0,0,neutral,neutral,neutral,neutral,neutral,neutral,disagree
1031,84464422,18_25,student,female,education,moto,4_7,0.571792353,10,convinient timesaving,0,2,0,0,good,verygood,verygood,verygood,verygood,good,disagree
1032,84465075,18_25,student,female,education,moto,4_7,2.855371937,30,convinient,0,2,0,0,good,good,good,good,good,neutral,disagree
1033,84465604,18_25,student,male,education,moto,4_7,2.714611838,20,convinient,0,1,0,0,good,verygood,good,good,good,neutral,neutral
1034,84466749,18_25,student,male,education,moto,4_7,4.605276078,10,convinient,0,2,0,0,good,verygood,verygood,good,good,neutral,neutral
1035,84467339,18_25,student,female,education,walk,4_7,0.417484313,15,convinient,0,0,0,0,good,verygood,verygood,verygood,good,good,agree
1036,84467932,18_25,student,female,education,bus,4_7,2.685915999,30,cost,0,2,0,0,good,verygood,verygood,verygood,good,good,agree
1037,84468801,18_25,student,female,education,walk,4_7,0.094465001,1,cost convinient timesaving,0,0,0,0,good,verygood,good,good,verygood,good,disagree
1038,84470316,18_25,student,male,education,moto,4_7,3.975427216,20,convinient,0,5,0,0,good,verygood,verygood,good,good,neutral,disagree
1039,84471745,18_25,student,female,education,walk,4_7,0.468405595,10,convinient,0,0,1,0,good,verygood,verygood,good,good,good,agree
1040,84472754,18_25,student,female,education,moto,4_7,5.689915555,20,convinient timesaving,1,2,0,0,verygood,verygood,verygood,good,good,good,disagree
1041,84473131,18_25,student,female,education,walk,4_7,0.413828978,10,convinient,0,0,0,0,good,verygood,verygood,good,verygood,good,disagree
1042,84473667,18_25,student,female,education,walk,4_7,0.369361987,10,convinient,0,0,0,0,good,verygood,verygood,verygood,verygood,good,disagree
1043,84474381,18_25,student,female,education,bus,4_7,0.323405727,10,convinient,0,0,0,0,good,good,good,good,verygood,neutral,disagree
1044,84475194,18_25,student,male,education,moto,4_7,0.906652996,15,convinient,0,3,0,3,neutral,good,good,neutral,good,bad,neutral
1045,84475968,18_25,student,female,education,moto,4_7,1.506358012,7,convinient timesaving,0,2,0,1,good,good,good,good,good,good,neutral
1046,84476927,18_25,student,female,education,walk,4_7,0.038639866,5,cost convinient,0,1,0,0,good,good,good,good,good,neutral,disagree
1047,84477866,less_18,student,female,education,moto,4_7,1.398363319,15,convinient,0,3,0,0,neutral,good,good,good,good,neutral,agree
1048,84478777,less_18,student,male,education,bus,4_7,9.255780222,20,cost convinient,2,1,0,1,good,good,good,good,good,neutral,agree
1049,84479235,less_18,student,female,education,ebike,4_7,6.652347455,20,cost convinient,1,1,1,0,good,verygood,verygood,verygood,verygood,neutral,strongagree
1050,84479895,less_18,student,male,education,bus,4_7,3.118528427,15,cost convinient,0,3,0,5,good,neutral,good,neutral,neutral,neutral,disagree
1051,84480483,less_18,student,male,education,moto,4_7,1.919045965,15,convinient,1,2,0,0,good,good,good,good,good,neutral,agree
1052,84481029,less_18,student,male,education,moto,4_7,0.914752517,10,convinient,1,2,0,0,neutral,good,good,good,good,good,disagree
1053,84482109,less_18,student,male,education,bus,4_7,4.913870239,25,cost,0,2,0,0,neutral,good,good,neutral,neutral,good,disagree
1054,84483051,less_18,student,male,education,moto,4_7,5.621999453,30,convinient,0,3,0,2,neutral,neutral,neutral,neutral,neutral,neutral,disagree
1055,84483855,less_18,student,male,education,walk,4_7,0.128265893,2,cost convinient,0,0,0,1,neutral,good,good,good,neutral,neutral,disagree
1056,84484392,less_18,student,male,education,ebike,4_7,4.56440143,30,cost convinient,0,2,1,0,neutral,good,good,good,neutral,neutral,disagree
1057,84485434,less_18,student,male,education,ebike,4_7,5.925587873,30,cost convinient,0,3,2,3,neutral,neutral,neutral,neutral,neutral,bad,strongdisagree
1058,84485873,less_18,student,male,education,moto,4_7,2.528685106,10,convinient,1,2,0,1,good,good,good,good,good,good,disagree
1059,84486555,less_18,student,male,education,walk,4_7,0.880388555,15,cost convinient,1,2,0,0,good,good,good,good,good,good,agree
1060,84487515,less_18,student,male,education,moto,4_7,4.290410952,15,convinient timesaving,0,3,0,0,neutral,good,good,good,neutral,neutral,disagree
1061,84488293,less_18,student,male,education,moto,4_7,1.471765082,15,convinient,1,3,0,0,good,good,good,good,good,neutral,disagree
1062,84489005,less_18,student,male,education,ebike,4_7,3.087044203,15,convinient,1,2,2,0,good,good,good,good,good,neutral,disagree
1063,84490141,less_18,student,male,education,moto,4_7,4.732521258,30,convinient,1,3,0,0,good,good,good,good,good,good,disagree
1064,84490758,less_18,student,male,education,moto,4_7,4.81364214,15,cost,1,3,0,0,good,good,neutral,neutral,good,neutral,disagree
1065,84491561,less_18,student,male,education,moto,4_7,1.354468013,15,cost convinient,0,4,0,0,neutral,good,good,good,good,neutral,disagree
1066,84492430,less_18,student,male,education,walk,4_7,1.077770604,15,cost convinient,0,1,0,0,neutral,neutral,neutral,neutral,neutral,neutral,neutral
1067,84503588,less_18,student,male,education,moto,4_7,0.667947554,15,convinient timesaving,0,4,0,0,neutral,good,good,good,good,neutral,disagree
1068,84504774,less_18,student,male,education,bus,4_7,6.718460622,40,cost,1,1,0,0,neutral,good,good,good,neutral,neutral,disagree
1069,84520125,less_18,student,male,education,ebike,4_7,1.231441011,10,convinient,0,2,1,0,neutral,good,good,good,neutral,neutral,agree
1070,84521341,less_18,student,male,education,bus,4_7,7.050639632,45,cost,2,1,0,0,good,verygood,verygood,verygood,good,good,agree
1071,84565769,18_25,student,male,education,moto,4_7,1.450065336,10,cost convinient,0,3,0,0,neutral,neutral,neutral,neutral,neutral,neutral,strongdisagree
1072,84565698,18_25,student,female,education,walk,4_7,0.336107668,5,cost convinient,0,3,0,0,neutral,neutral,neutral,neutral,neutral,neutral,agree
1073,84565587,18_25,student,male,education,walk,4_7,0.600958635,5,cost convinient,0,1,0,0,neutral,neutral,neutral,neutral,neutral,neutral,agree
1074,84565151,18_25,student,male,education,walk,4_7,0.08709846,5,cost,0,2,0,0,bad,bad,neutral,neutral,neutral,neutral,neutral
1075,84563466,18_25,student,female,education,moto,4_7,0.813404205,5,cost convinient,0,2,0,0,neutral,neutral,neutral,neutral,neutral,neutral,agree
1076,84563593,18_25,student,female,education,moto,4_7,1.983188394,15,cost convinient,0,3,0,0,neutral,neutral,neutral,neutral,neutral,neutral,neutral
1077,84563693,18_25,student,female,education,walk,4_7,0.156131542,5,cost convinient,0,0,0,0,neutral,neutral,neutral,neutral,neutral,neutral,strongagree
1078,84563760,18_25,student,female,education,moto,4_7,0.411012528,5,cost convinient,0,3,0,0,bad,bad,neutral,neutral,neutral,neutral,agree
1079,84563906,18_25,student,female,education,moto,4_7,0.826160397,5,cost convinient,0,2,0,0,verybad,verybad,neutral,neutral,neutral,neutral,neutral
1080,84563986,18_25,student,male,education,moto,4_7,0.336682752,5,cost convinient,0,3,0,0,neutral,neutral,neutral,neutral,neutral,neutral,agree
1081,84564028,18_25,student,male,education,moto,4_7,2.898117954,10,cost convinient,0,2,0,0,neutral,neutral,neutral,neutral,neutral,neutral,agree
1082,84564135,18_25,student,female,education,moto,4_7,3.798368188,20,cost convinient,0,1,0,0,neutral,neutral,neutral,neutral,neutral,neutral,strongagree
1083,84564664,18_25,student,female,education,moto,4_7,1.054529031,10,cost convinient,0,1,0,0,neutral,neutral,neutral,neutral,neutral,neutral,strongagree
1084,84565054,18_25,student,male,education,moto,4_7,6.213341186,30,cost convinient,0,3,0,0,neutral,neutral,neutral,neutral,neutral,neutral,strongdisagree
1085,84571947,18_25,student,female,education,moto,4_7,2.717030101,20,cost convinient,0,2,0,0,bad,bad,neutral,neutral,neutral,neutral,neutral
1086,84572151,18_25,student,female,education,moto,4_7,2.582922476,15,cost convinient timesaving,1,3,0,0,neutral,neutral,neutral,neutral,neutral,neutral,agree
1087,84572357,18_25,student,male,education,moto,4_7,0.376008329,5,cost convinient timesaving,0,3,0,0,neutral,neutral,neutral,neutral,neutral,neutral,neutral
1088,84572570,18_25,student,female,education,moto,4_7,0.479118362,5,convinient timesaving,0,2,0,0,neutral,neutral,neutral,neutral,neutral,neutral,strongdisagree
1089,84572909,18_25,student,female,education,moto,4_7,1.243788411,10,cost timesaving,0,2,0,0,neutral,neutral,neutral,good,neutral,neutral,strongdisagree
1090,84573143,18_25,student,female,education,moto,4_7,2.032287513,15,cost,0,2,0,0,neutral,neutral,neutral,neutral,neutral,neutral,disagree
1091,84573476,18_25,student,male,education,moto,4_7,4.005671524,15,cost convinient,0,1,1,0,neutral,neutral,neutral,neutral,neutral,neutral,strongagree
1092,84573955,18_25,student,female,education,moto,4_7,2.157589943,20,cost convinient,0,3,0,0,neutral,neutral,neutral,neutral,neutral,neutral,agree
1093,84574268,18_25,student,female,education,moto,4_7,0.933490241,15,cost convinient,0,1,1,0,neutral,neutral,neutral,neutral,neutral,neutral,agree
1094,84574636,18_25,student,male,education,moto,4_7,3.789693483,20,cost,0,3,2,1,verybad,verybad,neutral,neutral,neutral,neutral,neutral
1095,84574733,18_25,student,male,education,moto,4_7,0.593729938,15,timesaving,0,2,1,0,neutral,neutral,neutral,neutral,neutral,neutral,strongagree
1096,84574858,18_25,student,female,education,moto,4_7,1.309963532,15,cost,0,1,0,0,neutral,neutral,neutral,good,good,good,disagree
1097,84575150,18_25,student,female,education,moto,4_7,0.838348055,10,cost,0,1,0,0,neutral,neutral,neutral,neutral,neutral,neutral,agree
1098,84575383,18_25,student,female,education,moto,4_7,1.050628069,10,cost convinient,0,2,0,0,neutral,neutral,neutral,neutral,neutral,neutral,agree
1099,84578175,18_25,student,female,education,moto,4_7,1.902549141,20,cost convinient,0,2,1,0,neutral,neutral,neutral,neutral,neutral,neutral,neutral
1100,84579245,18_25,student,female,education,bus,4_7,7.800903512,50,cost convinient,0,2,0,0,neutral,neutral,neutral,neutral,neutral,neutral,neutral
1101,84579690,18_25,student,male,education,moto,4_7,3.156011825,5,convinient,0,1,0,0,neutral,neutral,neutral,neutral,neutral,neutral,agree
1102,84580115,18_25,student,female,education,moto,4_7,7.360249401,25,cost convinient,1,3,0,0,neutral,neutral,neutral,neutral,neutral,neutral,agree
1103,84580496,18_25,student,male,education,moto,4_7,2.869248474,5,cost convinient,0,3,0,0,bad,bad,neutral,neutral,neutral,neutral,neutral
1104,84580744,18_25,student,male,education,moto,4_7,9.371642517,30,cost convinient,0,3,0,0,neutral,neutral,neutral,neutral,neutral,neutral,agree
1105,84580919,18_25,student,male,education,moto,4_7,3.441910176,10,cost convinient,0,3,0,0,neutral,neutral,neutral,neutral,neutral,neutral,agree
1106,84581165,18_25,student,female,education,walk,4_7,3.107932646,10,cost convinient,0,2,0,0,neutral,neutral,neutral,neutral,neutral,neutral,agree
1107,84581386,18_25,student,male,education,moto,4_7,2.725338492,5,convinient timesaving,0,2,0,0,neutral,neutral,neutral,neutral,neutral,neutral,disagree
1108,84581588,18_25,student,male,education,moto,4_7,4.10424299,20,convinient timesaving,0,3,0,0,neutral,neutral,neutral,neutral,neutral,neutral,neutral
1109,84581968,18_25,student,female,education,moto,4_7,2.003760517,15,cost convinient timesaving,0,2,0,0,neutral,neutral,neutral,neutral,neutral,neutral,disagree
1110,84582223,18_25,student,female,education,moto,4_7,6.812954668,20,cost convinient,0,1,0,0,neutral,neutral,neutral,neutral,neutral,neutral,strongdisagree
1111,84582451,18_25,student,male,education,moto,4_7,2.718882666,5,cost convinient,0,2,1,0,neutral,neutral,neutral,neutral,neutral,neutral,neutral
1112,84582630,18_25,student,male,education,moto,4_7,3.193525509,10,cost convinient,0,1,0,0,neutral,neutral,neutral,neutral,neutral,neutral,strongdisagree
1113,84582893,18_25,student,male,education,moto,4_7,3.672979927,15,cost convinient timesaving,1,3,1,0,neutral,neutral,neutral,neutral,neutral,neutral,neutral
1114,84652300,18_25,student,female,education,bus,4_7,1.756179224,30,cost convinient,0,2,0,0,neutral,neutral,neutral,neutral,neutral,neutral,agree
1115,84652343,18_25,student,female,education,moto,4_7,5.875711324,25,cost convinient,0,2,0,0,neutral,neutral,neutral,neutral,neutral,neutral,agree
1116,84652476,18_25,student,female,education,moto,4_7,9.100241898,30,cost convinient,0,3,0,0,neutral,neutral,neutral,neutral,neutral,neutral,disagree
1117,84652511,18_25,student,male,education,moto,4_7,2.615433272,15,convinient timesaving,0,1,0,0,neutral,neutral,neutral,neutral,neutral,neutral,strongdisagree
1118,84652609,18_25,student,male,education,moto,4_7,2.28647343,20,cost timesaving,0,1,0,0,neutral,neutral,neutral,neutral,neutral,neutral,agree
1119,84652648,18_25,student,female,education,moto,4_7,3.738016833,5,cost convinient,0,1,0,0,neutral,neutral,neutral,neutral,neutral,neutral,strongdisagree
1120,84652662,18_25,student,male,education,moto,4_7,2.07221049,15,cost timesaving,0,2,0,0,neutral,neutral,neutral,neutral,neutral,neutral,neutral
1121,84652777,18_25,student,female,education,moto,4_7,1.566814134,10,cost convinient,0,3,0,0,neutral,neutral,neutral,neutral,neutral,neutral,neutral
1122,84652958,18_25,student,male,education,moto,4_7,0.37257442,3,cost convinient,0,2,0,0,neutral,neutral,neutral,neutral,neutral,neutral,neutral
1123,84683235,18_25,student,female,education,moto,4_7,1.935533941,5,cost convinient,0,2,0,0,neutral,neutral,neutral,neutral,neutral,neutral,disagree
1124,84683822,18_25,student,male,education,moto,4_7,1.783216227,5,cost convinient,0,2,0,0,neutral,neutral,neutral,neutral,neutral,neutral,neutral
1125,84684296,18_25,student,male,education,moto,4_7,1.76922547,5,cost timesaving,0,1,0,0,neutral,neutral,neutral,neutral,neutral,neutral,neutral
1126,84684622,18_25,student,female,education,moto,4_7,1.67971844,5,convinient timesaving,0,1,0,0,neutral,neutral,neutral,neutral,neutral,neutral,strongdisagree
1127,84685184,18_25,student,male,education,moto,4_7,2.133337781,5,cost convinient,0,1,0,0,neutral,neutral,neutral,neutral,neutral,neutral,agree
1128,84685884,18_25,student,male,education,moto,4_7,0.699164111,15,cost convinient timesaving,0,2,0,0,bad,bad,neutral,neutral,neutral,neutral,strongdisagree
1129,84686453,18_25,student,female,education,moto,8_10,1.642144517,5,cost convinient timesaving,0,1,0,0,neutral,bad,neutral,neutral,neutral,neutral,agree
1130,84686916,18_25,student,female,education,moto,4_7,0.983498959,10,cost convinient,0,3,0,0,neutral,neutral,good,good,good,good,strongdisagree
1131,84687420,18_25,student,female,education,moto,4_7,0.622968838,15,cost convinient timesaving,0,1,0,0,neutral,neutral,neutral,neutral,neutral,neutral,strongdisagree
1132,84688018,18_25,student,male,education,moto,4_7,6.738891796,15,timesaving,0,2,0,0,neutral,neutral,neutral,neutral,neutral,neutral,neutral
1133,84688407,18_25,student,female,education,moto,4_7,3.768825543,10,cost convinient,1,1,0,0,neutral,neutral,neutral,neutral,neutral,neutral,strongdisagree
1134,84688767,18_25,student,male,education,moto,4_7,2.053259065,10,cost,0,1,0,0,bad,bad,neutral,neutral,neutral,neutral,strongdisagree
1135,84689094,18_25,student,male,education,moto,4_7,0.834365748,5,cost convinient,0,2,0,0,neutral,neutral,neutral,neutral,neutral,neutral,strongdisagree
1136,84689222,18_25,student,female,education,moto,4_7,1.391633648,10,cost,0,2,0,0,neutral,neutral,neutral,neutral,neutral,neutral,strongdisagree
1137,84689414,18_25,student,female,education,walk,4_7,0.102549938,5,convinient,0,0,0,0,neutral,neutral,neutral,neutral,neutral,neutral,disagree
1138,84689715,18_25,student,female,education,moto,4_7,1.468648649,10,timesaving,0,1,0,0,neutral,neutral,neutral,neutral,neutral,neutral,disagree
1139,84689960,18_25,student,female,education,moto,4_7,1.377037584,15,convinient,0,2,0,0,neutral,neutral,neutral,neutral,neutral,neutral,disagree
1140,84690394,18_25,student,female,education,moto,4_7,6.79027134,30,convinient,0,3,0,0,neutral,neutral,neutral,neutral,neutral,neutral,disagree
1141,84691436,18_25,student,female,education,moto,4_7,1.668923955,15,timesaving,1,3,0,0,neutral,neutral,neutral,neutral,neutral,neutral,disagree
1142,84691647,18_25,student,female,education,moto,4_7,3.411914114,20,convinient,0,2,0,0,neutral,neutral,neutral,neutral,neutral,neutral,disagree
1143,84692130,18_25,student,male,education,moto,4_7,5.14281276,15,timesaving,0,1,0,0,neutral,neutral,neutral,neutral,neutral,neutral,disagree
1144,84692446,18_25,student,female,education,bus,4_7,1.716803205,15,cost convinient,0,1,0,0,neutral,neutral,neutral,neutral,neutral,neutral,neutral
1145,84692696,18_25,student,male,education,moto,4_7,3.233681473,15,convinient,0,2,0,0,neutral,neutral,neutral,neutral,neutral,neutral,strongdisagree
1146,84692904,18_25,student,female,education,moto,4_7,1.681386155,15,convinient,0,2,0,0,neutral,neutral,neutral,neutral,neutral,neutral,strongdisagree
1147,84693043,18_25,student,male,education,moto,4_7,1.281784759,10,convinient,0,1,0,0,neutral,neutral,neutral,neutral,neutral,neutral,neutral
1148,84693294,18_25,student,female,education,moto,4_7,3.118035306,20,convinient,0,2,0,0,neutral,neutral,neutral,neutral,neutral,neutral,neutral
1149,84693461,18_25,student,male,education,moto,4_7,6.13108212,30,convinient,0,3,0,0,neutral,neutral,neutral,neutral,neutral,neutral,neutral
1150,84694013,18_25,student,female,education,walk,4_7,0.687048636,10,convinient,0,0,0,0,neutral,neutral,neutral,neutral,neutral,neutral,neutral
1151,84694395,18_25,student,female,education,moto,4_7,0.883727314,10,convinient,0,3,0,0,neutral,neutral,neutral,neutral,neutral,neutral,strongdisagree
1152,84694652,18_25,student,male,education,moto,4_7,0.537931759,15,timesaving,0,3,1,0,neutral,neutral,good,good,good,good,disagree
1153,77342616,18_25,student,female,education,moto,8_10,0.300596885,5,convinient,0,1,0,0,neutral,good,bad,bad,neutral,bad,strongdisagree
1154,77343782,18_25,student,male,education,moto,8_10,0.326252202,5,convinient,0,2,0,0,neutral,good,bad,bad,neutral,bad,strongdisagree
1155,77345795,18_25,student,male,education,ebike,4_7,0.597240746,5,cost,0,1,1,0,good,good,good,neutral,neutral,neutral,agree
1156,77346985,18_25,student,female,education,moto,4_7,1.809177464,10,convinient,0,2,0,0,neutral,good,neutral,neutral,neutral,good,disagree
1157,77347785,18_25,student,male,education,moto,4_7,1.365578693,7,timesaving,1,2,0,0,good,good,neutral,neutral,neutral,neutral,neutral
1158,80491072,18_25,student,female,work,moto,4_7,3.81900138,30,convinient,0,1,0,0,good,neutral,neutral,neutral,good,good,disagree
1159,80602831,18_25,private,female,work,moto,4_7,2.594588024,15,cost,0,2,0,0,good,verygood,neutral,neutral,verygood,good,disagree
1160,81604885,18_25,student,female,education,moto,4_7,2.128715109,10,convinient timesaving,0,1,0,0,neutral,good,neutral,neutral,good,good,neutral
1161,81624457,18_25,student,female,work,moto,14_16,6.880384674,20,cost convinient,1,3,0,0,good,verygood,neutral,neutral,good,good,disagree
1162,81628204,26_35,fdi,female,work,moto,14_16,4.343686358,20,cost convinient,0,1,0,0,good,good,neutral,neutral,good,good,neutral
1163,81666489,26_35,private,male,work,moto,4_7,4.396372391,20,convinient,0,2,0,0,verygood,verygood,good,good,good,good,disagree
1164,81667531,26_35,private,female,work,moto,4_7,1.283469076,5,other,0,2,0,0,neutral,verygood,good,good,good,neutral,strongdisagree
1165,81966334,18_25,student,male,education,moto,4_7,1.587661475,7,convinient,0,2,0,0,verygood,verygood,neutral,neutral,good,neutral,disagree
1166,81966949,18_25,student,male,education,moto,4_7,1.331218134,8,timesaving,1,1,0,0,good,good,neutral,neutral,good,good,neutral
1167,81967508,36_55,state,male,work,car,4_7,1.674790139,7,convinient,1,1,0,0,verygood,good,neutral,neutral,good,neutral,agree
1168,82570535,26_35,private,female,education,moto,4_7,0.585253306,5,convinient,0,2,0,0,good,good,neutral,neutral,good,good,disagree
1169,82572335,26_35,private,male,work,moto,4_7,1.346761245,10,timesaving,0,2,0,0,verygood,verygood,good,neutral,good,verygood,disagree
1170,82982964,26_35,private,female,education,moto,4_7,1.29792565,8,convinient,0,2,0,0,good,verygood,good,neutral,verygood,good,strongdisagree
1171,82983899,26_35,private,male,work,moto,4_7,1.219161329,10,other,0,2,0,0,good,verygood,good,good,good,good,disagree
1172,82984526,18_25,student,female,education,moto,4_7,1.552905921,7,convinient,0,1,0,0,neutral,good,neutral,neutral,good,good,neutral
1173,83038140,18_25,student,male,education,moto,4_7,1.241492962,10,other,0,1,0,0,good,good,neutral,neutral,good,neutral,disagree
1174,83038845,56_75,retired,female,education,bike,4_7,0.955509967,10,convinient,0,1,0,1,verygood,good,good,good,neutral,good,neutral
1175,83041261,18_25,student,male,education,moto,4_7,1.343407128,10,convinient,0,2,0,0,neutral,good,good,neutral,good,good,disagree
1176,83168013,26_35,private,female,work,moto,4_7,1.850878751,10,convinient,0,2,0,0,neutral,good,good,neutral,good,neutral,disagree
1177,83168892,26_35,private,male,work,moto,4_7,2.556545747,12,timesaving,0,2,0,0,good,good,good,neutral,good,neutral,strongdisagree
1178,83170137,26_35,private,female,work,moto,4_7,1.483931122,15,convinient,0,3,0,0,verygood,verygood,good,good,good,good,disagree
1179,83171648,18_25,student,male,education,moto,4_7,0.988377472,10,convinient,0,2,0,0,neutral,good,good,neutral,good,good,strongdisagree
1180,83328723,18_25,student,female,education,moto,4_7,1.982675374,12,convinient,0,2,0,1,good,verygood,good,good,verygood,verygood,strongdisagree
1181,83329213,18_25,student,male,education,moto,4_7,4.000519817,20,convinient,0,2,0,1,neutral,good,neutral,good,neutral,good,disagree
1182,83331760,18_25,student,male,education,bike,4_7,1.677585637,15,other,0,2,0,1,good,verygood,good,good,good,neutral,disagree
1183,84028136,26_35,private,female,work,moto,4_7,3.597431043,15,convinient,0,1,1,0,neutral,good,good,neutral,neutral,good,disagree
1184,83436611,18_25,private,male,work,moto,4_7,1.000071035,7,timesaving,0,2,0,0,neutral,good,good,neutral,good,neutral,strongdisagree
1185,83438211,26_35,private,male,work,car,4_7,4.583723267,20,convinient,1,1,0,0,good,good,neutral,neutral,good,neutral,neutral
1186,83439222,26_35,private,female,work,moto,4_7,1.8330695,10,cost,1,1,0,0,verygood,verygood,neutral,neutral,good,good,disagree
1187,83440129,18_25,private,male,work,moto,4_7,0.615068701,5,convinient,0,3,0,0,good,verygood,good,neutral,good,neutral,strongdisagree
1188,83440704,18_25,student,female,education,moto,4_7,0.584442056,5,convinient,0,1,0,0,neutral,good,neutral,neutral,good,good,strongdisagree
1189,83445001,26_35,private,female,education,moto,1_3,0.869194657,7,convinient,0,2,0,0,good,good,neutral,neutral,neutral,neutral,neutral
1190,83445502,18_25,student,female,education,moto,4_7,0.594405982,5,other,0,2,0,0,neutral,verygood,good,neutral,good,good,strongdisagree
1191,83446714,26_35,private,male,work,moto,4_7,1.668994214,10,convinient,0,2,0,0,neutral,good,good,neutral,good,neutral,neutral
1192,83766725,26_35,private,male,work,moto,4_7,2.797614321,10,convinient,0,2,0,0,verygood,verygood,good,neutral,good,neutral,strongdisagree
1193,83767181,18_25,student,female,education,moto,4_7,0.775830536,5,convinient,0,2,1,0,neutral,good,good,neutral,good,good,neutral
1194,83776177,18_25,private,female,work,moto,4_7,1.787709026,10,convinient,0,3,0,1,neutral,verygood,good,neutral,good,good,disagree
1195,83960137,18_25,student,male,education,moto,4_7,2.217009143,8,convinient,0,2,0,0,neutral,verygood,good,neutral,verygood,good,strongdisagree
1196,83961904,26_35,private,female,work,moto,4_7,0.805094418,5,timesaving,0,2,0,0,good,verygood,good,neutral,good,good,agree
1197,83963107,26_35,private,male,work,moto,4_7,2.038321019,12,timesaving,0,2,0,0,verygood,good,neutral,neutral,good,neutral,neutral
1198,83964967,18_25,student,female,education,moto,4_7,1.759749017,8,cost convinient,0,1,0,0,neutral,good,good,neutral,neutral,good,strongdisagree
1199,83967255,26_35,private,female,work,moto,4_7,2.145744651,15,cost,0,2,0,0,neutral,verygood,good,neutral,good,good,disagree
1200,83968542,26_35,private,male,work,moto,4_7,2.08078294,7,timesaving,0,2,0,0,good,verygood,neutral,neutral,good,neutral,neutral
1201,83969310,18_25,student,male,education,moto,4_7,1.091451606,10,convinient,0,2,0,0,good,verygood,neutral,neutral,neutral,neutral,strongdisagree
1202,84020898,18_25,student,male,education,walk,4_7,0.577851132,10,convinient,0,2,0,0,good,verygood,good,neutral,good,neutral,disagree
1203,84021133,18_25,student,male,education,moto,4_7,1.907092596,8,convinient,0,3,0,0,neutral,good,good,neutral,good,good,strongdisagree
1204,84021366,26_35,private,male,work,moto,4_7,2.94365272,15,convinient,0,2,0,0,neutral,verygood,good,good,good,neutral,neutral
1205,84021482,18_25,private,female,work,moto,4_7,1.746813584,15,convinient,0,2,0,0,verygood,good,good,neutral,good,neutral,strongdisagree
1206,84021672,18_25,private,male,work,moto,4_7,1.111704032,8,other,0,2,0,0,good,verygood,neutral,neutral,verygood,verygood,strongdisagree
1207,84022022,18_25,student,female,education,moto,4_7,1.350462935,6,timesaving,0,1,0,0,good,good,good,good,good,neutral,neutral
1208,84082962,18_25,student,male,education,bus,4_7,2.212413738,20,cost,0,1,0,0,neutral,good,neutral,neutral,good,good,disagree
1209,84084280,26_35,private,female,work,moto,4_7,1.484358507,8,timesaving,0,2,0,0,neutral,good,good,neutral,neutral,neutral,agree
1210,84108833,26_35,private,male,visit,moto,4_7,1.279442407,7,cost convinient timesaving,0,2,0,0,verygood,verygood,good,neutral,good,neutral,agree
1211,81163894,36_55,private,male,work,car,4_7,5.837278405,30,other,1,1,0,0,verygood,good,neutral,verygood,neutral,neutral,neutral
1212,81163745,26_35,private,female,work,walk,4_7,0.807472034,15,cost,0,1,0,0,verygood,verygood,verygood,neutral,good,good,disagree
1213,81261901,26_35,private,female,education,moto,4_7,1.276035587,15,cost convinient,0,2,0,0,good,bad,neutral,neutral,neutral,good,disagree
1214,81262505,18_25,private,female,education,walk,4_7,0.063126373,5,convinient,0,2,0,0,good,good,good,good,good,good,disagree
1215,77532137,18_25,student,female,education,walk,4_7,0.445020964,15,cost convinient,0,0,0,0,good,good,neutral,neutral,good,good,agree
1216,78145436,18_25,student,female,education,walk,4_7,0.445428243,15,cost convinient,0,0,0,0,good,good,good,neutral,good,good,agree
1217,78149735,18_25,student,male,work,moto,4_7,1.88831154,10,convinient,0,2,0,0,verygood,verygood,verygood,verygood,neutral,good,agree
1218,78150372,18_25,private,female,education,moto,4_7,1.81607255,10,convinient,0,2,0,0,verygood,good,neutral,neutral,bad,good,neutral
1219,78151488,26_35,private,male,work,moto,4_7,2.438227655,15,convinient,0,2,0,0,good,neutral,good,good,good,good,neutral
